Row,username,Total,T1,T2,quote_farsi,quote_english,T3,T4,T5,T6,T7,T8,T9,T10,T11
151,Akram36954579,1,0,1,0,0,0,0,0,0,0,0,0,0,0
152,AlalehNuoela,5,1,0,0,0,0,0,0,0,1,1,1,1,0
153,AlbertCamus88,6,1,0,0,0,1,0,0,1,1,1,0,0,1
154,Albert_Parsi,5,0,1,0,0,0,1,0,0,1,1,1,0,0
155,AlborzCIP,2,1,0,0,0,0,0,0,1,0,0,0,0,0
156,AlborzDreams,4,1,1,0,0,1,0,0,1,0,0,0,0,0
157,AleffffB,5,0,1,0,0,0,0,0,1,0,1,1,0,1
158,Alejmmh,6,1,1,0,0,1,0,0,0,1,1,0,1,0
159,AlexNgwzmn22889,1,1,0,0,0,0,0,0,0,0,0,0,0,0
160,Alex_Shiraz,1,1,0,0,0,0,0,0,0,0,0,0,0,0
161,Alex_sirbiggs,1,1,0,0,0,0,0,0,0,0,0,0,0,0
162,Ali16784,1,1,0,0,0,0,0,0,0,0,0,0,0,0
163,Ali4Iran2,10,1,1,0,0,1,1,0,1,1,1,1,1,1
164,Ali517280392475,9,1,0,0,0,0,1,1,1,1,1,1,1,1
165,Ali58092225,3,1,0,0,0,0,0,0,1,0,0,0,1,0
166,Ali597290778157,1,1,0,0,0,0,0,0,0,0,0,0,0,0
167,Ali63601101,1,1,0,0,0,0,0,0,0,0,0,0,0,0
168,Ali688178582236,3,1,0,0,0,1,0,0,0,1,0,0,0,0
169,AliAjam58976942,6,1,1,0,0,0,1,0,1,0,0,1,0,1
170,AliAkbari141120,1,0,1,0,0,0,0,0,0,0,0,0,0,0
171,AliAliarsenali,7,0,1,0,0,1,1,1,0,0,1,1,0,1
172,AliFarshad275,2,1,0,0,0,0,0,0,1,0,0,0,0,0
173,AliKarimi171946,2,1,1,0,0,0,0,0,0,0,0,0,0,0
174,AliMohamma2537,1,1,0,0,0,0,0,0,0,0,0,0,0,0
175,AliNa37447628,2,1,0,0,0,1,0,0,0,0,0,0,0,0
176,AliPayam,8,1,1,0,0,1,1,1,0,0,1,0,1,1
177,AliRazavi2538,3,0,1,0,0,0,0,0,0,1,0,1,0,0
178,AliSherkhan86,4,1,1,0,0,0,0,0,0,0,1,0,1,0
179,AliTamashagar,1,1,0,0,0,0,0,0,0,0,0,0,0,0
180,AliVafabiotech,5,0,1,0,0,1,1,0,0,0,0,1,0,1
181,AliYar0l,11,1,1,0,0,1,1,1,1,1,1,1,1,1
182,Ali_4_Free_IRAN,3,0,1,0,0,0,0,0,1,1,0,0,0,0
183,Ali_Tavakoli7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
184,Ali_Zaveh,2,1,1,0,0,0,0,0,0,0,0,0,0,0
185,Ali_h_pour,10,1,1,0,0,1,1,1,1,1,0,1,1,1
186,Aliazimi8374,1,1,0,0,0,0,0,0,0,0,0,0,0,0
187,Alic98210073,5,1,1,0,0,1,0,0,0,1,0,1,0,0
188,Alifakhrmousavi,2,1,1,0,0,0,0,0,0,0,0,0,0,0
189,Alireza2025E,7,0,1,0,0,0,1,1,1,1,0,1,0,1
190,Alireza781214,10,1,0,0,0,1,1,1,1,1,1,1,1,1
191,AlirezaFarid82,1,1,0,0,0,0,0,0,0,0,0,0,0,0
192,AlirezaTabib,7,1,0,0,0,1,0,1,1,1,1,1,0,0
193,Alireza_Sakaky,6,1,1,0,0,0,0,1,0,0,1,0,1,1
194,AllenHenriques,1,1,0,0,0,0,0,0,0,0,0,0,0,0
195,Allihaashemi,10,1,0,0,0,1,1,1,1,1,1,1,1,1
196,AllyLogan1977,1,0,1,0,0,0,0,0,0,0,0,0,0,0
197,AlmaDelia007,1,1,0,0,0,0,0,0,0,0,0,0,0,0
198,AlphaIran_MIGA,10,1,1,0,0,1,1,1,1,1,0,1,1,1
199,AlphaM96937,3,1,1,0,0,0,0,0,0,0,0,0,1,0
200,AlphredoNight,4,1,1,0,0,0,0,0,0,0,0,1,0,1
201,Alphredooo88,1,0,1,0,0,0,0,0,0,0,0,0,0,0
202,Alx243786,3,1,0,0,0,1,0,0,0,1,0,0,0,0
203,AlxDiba,4,0,1,0,0,1,0,0,1,1,0,0,0,0
204,AmIn4l1,7,1,1,0,0,1,1,0,1,0,0,0,1,1
205,Amelia0879,2,1,1,0,0,0,0,0,0,0,0,0,0,0
206,Amh_rs,4,1,1,0,0,1,0,0,0,0,0,0,1,0
207,AmiMamii,11,1,1,0,0,1,1,1,1,1,1,1,1,1
208,Amiir2191,7,1,0,0,0,1,0,0,1,1,0,1,1,1
209,Amin27Iran,2,0,1,0,0,1,0,0,0,0,0,0,0,0
210,AminArpana55549,10,1,1,0,0,1,1,0,1,1,1,1,1,1
211,AminAskari1988,1,1,0,0,0,0,0,0,0,0,0,0,0,0
212,AminBehroozi2,10,1,0,0,0,1,1,1,1,1,1,1,1,1
213,AminKhazaei19,1,0,1,0,0,0,0,0,0,0,0,0,0,0
214,Amin_P_K,5,1,0,0,0,0,0,0,1,1,0,1,1,0
215,Aminbehroozi70,11,1,1,0,0,1,1,1,1,1,1,1,1,1
216,Aminhy77,2,1,0,0,0,1,0,0,0,0,0,0,0,0
217,Amir01556502,3,1,0,0,0,0,1,0,0,1,0,0,0,0
218,Amir1353521,2,1,0,0,0,0,0,0,0,1,0,0,0,0
219,Amir1395841,1,1,0,0,0,0,0,0,0,0,0,0,0,0
220,Amir202407,2,1,1,0,0,0,0,0,0,0,0,0,0,0
221,Amir45221172,10,1,1,0,0,1,1,1,1,1,1,1,1,0
222,Amir6x6mah,1,1,0,0,0,0,0,0,0,0,0,0,0,0
223,Amir7gwy,2,1,0,0,0,0,0,1,0,0,0,0,0,0
224,AmirAbbasi75,5,1,1,0,0,0,1,0,0,1,0,0,0,1
225,AmirEkk15490,1,0,1,0,0,0,0,0,0,0,0,0,0,0
226,AmirImor,8,1,1,0,0,1,1,0,1,1,1,1,0,0
227,AmirIranTillend,6,1,1,0,0,0,1,1,1,0,1,0,0,0
228,AmirIrania2542,3,0,1,0,0,0,0,0,0,0,0,0,1,1
229,AmirPatrick_,4,1,0,0,0,0,1,0,1,0,0,1,0,0
230,AmirRezaOveissi,2,1,0,0,0,0,0,0,0,0,0,0,1,0
231,AmirSiavashkian,4,1,1,0,0,1,0,0,0,0,0,1,0,0
232,AmirVarsho4460,2,1,0,0,0,0,0,0,0,1,0,0,0,0
233,AmirZ99992338,2,1,0,0,0,1,0,0,0,0,0,0,0,0
234,Amir_3719,1,0,1,0,0,0,0,0,0,0,0,0,0,0
235,Amir_H_2022,4,0,1,0,0,0,0,0,1,1,0,1,0,0
236,Amir_IrCa,2,0,1,0,0,0,0,0,0,1,0,0,0,0
237,Amir__Hussen,1,0,1,0,0,0,0,0,0,0,0,0,0,0
238,Amir_hastam68,10,1,1,0,0,1,1,1,1,1,1,0,1,1
239,Amir_zombie88,6,1,0,0,0,1,1,0,1,1,1,0,0,0
240,AmirabbasPirouz,3,1,0,0,0,0,0,0,0,1,1,0,0,0
241,Amirenff,8,1,0,0,0,1,0,0,1,1,1,1,1,1
242,Amirmohammadmgm,2,1,1,0,0,0,0,0,0,0,0,0,0,0
243,Amirossein98,9,1,1,0,0,1,0,1,1,1,1,1,1,0
244,Amirrez52053862,1,0,1,0,0,0,0,0,0,0,0,0,0,0
245,AmirrezaS007,3,1,1,0,0,1,0,0,0,0,0,0,0,0
246,Amirtle,6,0,1,0,0,1,0,0,1,1,1,0,1,0
247,Amita_Bi_chan,11,1,1,0,0,1,1,1,1,1,1,1,1,1
248,AmithAzadi57123,1,1,0,0,0,0,0,0,0,0,0,0,0,0
249,AmooLindsey,4,0,1,0,0,1,0,0,0,0,0,1,1,0
250,AmyDiva15_,3,1,0,0,0,0,0,0,0,1,0,0,1,0
251,AmynyNasr,3,0,1,0,0,1,1,0,0,0,0,0,0,0
252,Ana41913989,1,0,1,0,0,0,0,0,0,0,0,0,0,0
253,AnaBas101,1,1,0,0,0,0,0,0,0,0,0,0,0,0
254,Anahid2581,1,1,0,0,0,0,0,0,0,0,0,0,0,0
255,AnahidArya22184,2,1,0,0,0,0,0,0,1,0,0,0,0,0
256,Anahiid,5,1,0,0,0,1,0,0,1,0,0,0,1,1
257,Anahit322175,6,0,1,0,0,1,0,0,1,1,1,0,0,1
258,AnahitaForIran,5,1,1,0,0,1,0,0,0,0,0,1,1,0
259,AnahitaItalia,4,1,0,0,0,1,1,0,0,0,0,1,0,0
260,Anais0098,7,1,1,0,0,1,0,0,1,1,1,1,0,0
261,Anas10629488,2,1,0,0,0,0,0,0,0,1,0,0,0,0
262,AndersonHa69148,1,1,0,0,0,0,0,0,0,0,0,0,0,0
263,AndishehAazaad,6,1,1,0,0,1,0,0,1,1,0,1,0,0
264,AndrewGhalili,3,1,0,0,0,1,0,0,1,0,0,0,0,0
265,Andromeda_2550,6,1,0,0,0,1,0,1,1,1,1,0,0,0
266,Angel1516192675,2,1,1,0,0,0,0,0,0,0,0,0,0,0
267,Angelin17021352,1,0,1,0,0,0,0,0,0,0,0,0,0,0
268,Angle_Rev,2,0,1,0,0,0,1,0,0,0,0,0,0,0
269,Anji52557522,3,1,1,0,0,0,0,0,0,1,0,0,0,0
270,AnonymousNY5,4,1,1,0,0,1,0,0,0,0,0,1,0,0
271,AnotherKaveh,2,1,0,0,0,1,0,0,0,0,0,0,0,0
272,AnotherbotV,5,1,1,0,0,1,0,0,0,1,0,0,0,1
273,Ant671632124627,3,1,1,0,0,0,0,0,1,0,0,0,0,0
274,AntiProp_aganda,8,1,1,0,0,0,1,0,1,1,1,1,1,0
275,Anti_tazi,5,0,1,0,0,0,0,0,0,1,1,1,0,1
276,Antig2585,1,1,0,0,0,0,0,0,0,0,0,0,0,0
277,AnushkaMohamma1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
278,Aphasmid1991,2,1,0,0,0,0,0,0,0,0,1,0,0,0
279,AplcarolineDr,6,1,1,0,0,1,0,0,0,1,0,1,0,1
280,Ar9260_L,4,0,1,0,0,1,0,0,0,1,1,0,0,0
281,ArAs44020938,2,0,1,0,0,0,0,0,0,1,0,0,0,0
282,ArGarsh25903,8,1,1,0,0,1,1,1,1,0,1,0,1,0
283,Arad08088,1,0,1,0,0,0,0,0,0,0,0,0,0,0
284,Arad_82_71,3,1,0,0,0,0,0,0,1,0,1,0,0,0
285,Arad_Kaviani,4,1,1,0,0,1,0,0,0,1,0,0,0,0
286,Arad_nanva,7,1,0,0,0,1,1,0,1,1,0,1,0,1
287,Aragon6665,8,1,1,0,0,1,0,0,1,1,0,1,1,1
288,Arahabaki_13,10,1,1,0,0,1,1,0,1,1,1,1,1,1
289,Aramofen,6,1,1,0,0,0,0,0,0,1,1,0,1,1
290,AranKamangar,2,1,1,0,0,0,0,0,0,0,0,0,0,0
291,Arash40232362,1,0,1,0,0,0,0,0,0,0,0,0,0,0
292,Arash6666666,7,1,1,0,0,0,1,0,0,0,1,1,1,1
293,Arash797979,1,1,0,0,0,0,0,0,0,0,0,0,0,0
294,ArashArteman,1,1,0,0,0,0,0,0,0,0,0,0,0,0
295,ArashArya12,10,1,1,0,0,1,1,1,1,1,0,1,1,1
296,Arash_N1999,9,1,1,0,0,1,1,0,1,1,1,0,1,1
297,Arash_th_Archer,3,1,1,0,0,1,0,0,0,0,0,0,0,0
298,Arashhamedian1,3,1,0,0,0,1,0,0,0,1,0,0,0,0
299,Arashir22142540,9,0,1,0,0,1,1,1,1,1,1,0,1,1
300,Arashk4321,3,1,0,0,0,1,0,0,0,0,0,1,0,0
301,ArashkOnX,8,1,1,0,0,1,0,0,1,1,1,0,1,1
302,Araz777711,6,1,0,0,0,0,0,0,1,1,1,1,1,0
303,ArcanisBall,3,1,0,0,0,1,1,0,0,0,0,0,0,0
304,ArcanusOrdo,1,1,0,0,0,0,0,0,0,0,0,0,0,0
305,ArcherCiochar,1,0,1,0,0,0,0,0,0,0,0,0,0,0
306,ArdeshirBahram2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
307,ArefIrani77,4,1,1,0,0,0,0,0,0,1,0,1,0,0
308,Arefmdi,6,1,1,0,0,0,1,0,1,0,1,1,0,0
309,ArezO00OzerA,2,0,1,0,0,0,0,0,0,1,0,0,0,0
310,Arezoo1808,1,0,1,0,0,0,0,0,0,0,0,0,0,0
311,ArezouAzadi,3,0,1,0,0,1,0,0,0,0,0,1,0,0
312,Ari15063,1,1,0,0,1,0,0,0,0,0,0,0,0,0
313,AriaAria657,10,1,1,0,0,1,1,1,1,1,1,0,1,1
314,AriaDeb1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
315,AriaKarimi61,2,1,1,0,0,0,0,0,0,0,0,0,0,0
316,Ariaaa0099,1,1,0,0,0,0,0,0,0,0,0,0,0,0
317,Ariamehhr,3,1,0,0,0,1,0,0,1,0,0,0,0,0
318,Ariamehr14036,5,1,0,0,0,1,0,0,0,1,0,1,1,0
319,Ariamehr1975,4,1,1,0,0,0,0,0,0,1,0,0,1,0
320,Ariamehr92,4,1,1,0,0,1,0,0,0,0,0,0,0,1
321,Arian7_Z,6,1,0,0,0,1,0,0,1,1,1,0,1,0
322,ArianXID,9,1,1,0,0,1,1,1,1,1,0,0,1,1
323,AriannaI94212,5,1,0,0,0,1,0,0,1,0,1,0,1,0
324,Ariapersian2026,2,1,0,0,0,0,0,0,0,0,0,0,0,1
325,Ariaroshangar,5,1,0,0,0,1,0,0,0,1,0,1,0,1
326,AriasChelMeli,2,0,1,0,0,1,0,0,0,0,0,0,0,0
327,AriiaM11264,1,1,0,0,0,0,0,0,0,0,0,0,0,0
328,Ario1401,9,1,1,0,0,1,1,1,1,1,1,1,0,0
329,ArioPE368BC,5,1,1,0,0,0,0,0,1,1,0,0,0,1
330,Ario_rsm,2,1,0,0,0,0,0,0,0,0,0,1,0,0
331,Ariobar38472495,6,1,1,0,0,0,1,1,0,1,0,1,0,0
332,Ariobarzansimog,1,0,1,0,0,0,0,0,0,0,0,0,0,0
333,Ariofard,2,0,1,0,0,0,0,0,0,0,0,0,0,1
334,Arioobarzan1020,7,1,1,0,0,0,1,1,1,1,1,0,0,0
335,Ariopars,2,1,0,0,0,0,0,0,0,1,0,0,0,0
336,Arioradmeh,1,0,1,0,0,0,0,0,0,0,0,0,0,0
337,Arissamehr,2,1,0,0,0,1,0,0,0,0,0,0,0,0
338,Ariu44222763,2,0,1,0,0,0,0,0,0,0,0,1,0,0
339,Ariya100177,4,1,0,0,0,0,0,0,1,0,0,1,1,0
340,Ariya1311988,1,1,0,0,0,0,0,0,0,0,0,0,0,0
341,AriyaMehr22,1,1,0,0,0,0,0,0,0,0,0,0,0,0
342,Ariyaanaa,2,1,1,0,0,0,0,0,0,0,0,0,0,0
343,AriyoBarzannn,3,1,1,0,0,0,0,0,1,0,0,0,0,0
344,Ariywop8r,1,1,0,0,0,0,0,0,0,0,0,0,0,0
345,Arlleenmn,4,1,0,0,0,1,1,0,1,0,0,0,0,0
346,ArmanBoroujeni,2,1,1,0,0,0,0,0,0,0,0,0,0,0
347,ArmanMasarrat,9,1,1,0,0,1,1,1,1,1,0,0,1,1
348,ArmanNik93,3,1,1,0,0,0,0,0,1,0,0,0,0,0
349,Armi_n_,1,1,0,0,0,0,0,0,0,0,0,0,0,0
350,Armin1t,0,0,0,1,0,0,0,0,0,0,0,0,0,0
351,ArminNavabi,2,1,0,0,0,0,0,0,0,0,1,0,0,0
352,ArminS17598,1,0,1,0,0,0,0,0,0,0,0,0,0,0
353,ArmitaHooman,2,0,1,0,0,0,0,0,1,0,0,0,0,0
354,ArnavazIran,8,1,0,0,0,1,1,0,1,1,0,1,1,1
355,Arnick___,8,0,1,0,0,1,1,1,1,1,1,0,1,0
356,Arnikai2,3,1,0,0,0,1,0,0,1,0,0,0,0,0
357,Aroosak2025,2,1,0,0,0,1,0,0,0,0,0,0,0,0
358,ArrehKesh,11,1,1,0,0,1,1,1,1,1,1,1,1,1
359,Arsalan_Nazari,3,1,1,0,0,0,0,0,1,0,0,0,0,0
360,Arshia1985,8,1,0,0,0,1,1,0,1,1,1,1,0,1
361,Arshiy619117,1,1,0,0,0,0,0,0,0,0,0,0,0,0
362,Artan_1992,10,1,0,0,0,1,1,1,1,1,1,1,1,1
