username,followers_count,final_location,count,x_id
fa_abv,22854,VPN - Iran,1,1080737115753850000
yazdanparast313,22769,VPN - Iran,3,918806712995348000
_NOMICS,22716,United Kingdom,2,1032556359739430000
Gaamuk,22536,India,1,38649374
IzkMohbi,22535,Iran,4,1315509299272190000
decolonize_this,22437,United States,9,770310096228417000
7sardar7,22377,Iran,1,1338808871226400000
rmslim,22340,North America,1,255689417
Bahaa_Karbala,22320,Iraq,2,3196361694
BlackQueenLara,22263,Web VPN France,2,33408119
staffofmoses2,22205,West Asia,1,1593677521924520000
Bry_ant6,22171,Uganda,6,743787041016680000
CeciliaRamirezH,22018,United States,6,22881724
akishojaee13,21948,VPN - Iran,1,1307650939797540000
saif_SH45,21634,North America,14,1239307616398050000
radiodaljir,21585,United States,4,146981164
JairoAHenadg,21378,Colombia,10,1422049015588340000
PaulSorrentino3,21348,United States,2,1345940180
IraninSpain,21322,,5,1028954728791780000
Ufaq_RM,21137,Pakistan,1,1351436909789270000
TamanishaJohn,21094,Canada,3,1932163650
sardare_delhaa,21007,VPN - Iran,1,1414084440117200000
kadijah214,20916,Iraq,1,1211279308406190000
sarrafteh,20900,VPN - Iran,1,815294237709308000
tajudine2013gm2,20862,Nigeria,17,1497128047513900000
M7A7G7X,20815,Poland,2,1532114447220850000
DoodlesTrks,20651,United States,2,1081311465557000000
professor_Hasan,20580,Austria,1,1325366799588800000
hiep2016,20570,Viet Nam,1,3267989144
Olang_Moses,20520,Kenya,3,4083458907
WardaJaafar,20513,Lebanon,1,1241493030701530000
TaniaSaidWhat,20466,United States,3,298110297
olivenews,20293,Web VPN Japan,2,110997322
enfree1993,20175,Italy,1,1015683182060950000
GrantSmithEllis,20151,United States,9,1358052752623080000
EngineerNGR,20134,Nigeria,1,321765973
xahidcreator,20112,Malaysia,4,140048790
mcm_ct,20075,United States,3,3162911248
IsuphJt,20051,Africa,11,1652502956
TodoChiapas,20048,Mexico,2,86410634
itsalireza_akb,19993,Iran,4,1673958820211580000
fatima_nssr,19933,Lebanon,1,1277345724808800000
JICHOdaDOG,19921,Kenya,3,117072439
bob_vanderhoeve,19901,Belgium,1,3741706396
Prroph,19828,Kenya,4,1173358146905170000
Hamidr1361,19742,Iran,8,1219925340602230000
alhosni44a,19707,Oman,1,2219655894
stellarman22,19688,United States,1,1079523007842930000
GavMcCracken,19686,Canada,1,1486417511763660000
ninoqazi,19682,Pakistan,1,222123736
WarnockWarrior,19641,United States,2,1267822628670040000
moreproteinbars,19589,United States,1,1201232615015110000
warintelfeed,19526,South Asia,1,2810508069
BandeKhuda,19354,Canada,1,303462008
AmmarKazmi,19278,United Kingdom,2,178771060
DPezeshkian1403,19085,Iran,6,969536969020793000
BamaramSaeed,19047,Europe,1,1421755167804850000
les_politiques,18951,Canada,8,150881077
169Nomis,18882,United Kingdom,3,723493596083700000
CheetahPlains,18801,South Africa,1,1073583372566450000
nargesi__63,18684,Iran,5,1038546043925930000
aliasghar_1999,18648,Iran,1,1047260631219500000
NotoriousBEG,18579,United States,1,1596014235691130000
SarbazRezvi,18562,Iran,4,1449993031873090000
Mutesimarion_,18508,Uganda,1,1630258546284660000
MusadiqZ,18482,Nigeria,2,365353631
snackvampire,18481,United States,5,996802345009725000
0R5xaJ4TNlCMxJZ,18381,Yemen,1,1265400548553120000
DerekMeers,18379,United Kingdom,6,396879947
Mohadeseh1993,18337,West Asia,3,1507138286225090000
judeonzita,18278,Uganda,1,370617940
SocialRightsIRL,18195,Ireland,7,236958467
LalitaAM11,18161,Mexico,1,4065571572
FelipeBeck,18159,Brazil,1,32438568
Almutawakkil560,18011,Yemen,1,3921526577
n1988_nm,17957,Iran,5,1237821028149200000
nimabolhasanii,17797,Iran,2,841162645294191000
DavudHossaini,17751,Sweden,1,1613651011
abdolahzadeh_ir,17739,Iran,18,551848067
DrMohaqeqi,17541,VPN - Iran,2,878040664726012000
PopescuCo,17502,Canada,1,369786451
